date,VULC3,ISAE4,BBDC3,FLRY3,POMO4,ITSA3,BBAS3,CMIG4,TAEE3,UNIP6
2018-05-16,4.3397269249,7.77133798599,11.394569397,16.5067939758,1.89149296284,5.00407266617,9.90574645996,1.80323445797,2.98489809036,12.4641513824
2018-05-17,4.19507026672,7.52065134048,10.7768363953,16.0014820099,1.82658874989,4.80736875534,9.44594955444,1.75164973736,3.03117537498,12.3316173553
2018-05-18,4.11406230927,7.51830911636,10.8438224792,15.9950046539,1.7848649025,4.80736875534,9.39422130585,1.71800732613,2.9339928627,13.0636863708
2018-05-21,4.14299249649,7.61553907394,10.4940252304,15.9755735397,1.77095663548,4.79556751251,9.17007350922,1.73819243908,2.96175909042,13.7326526642
2018-05-22,4.16035079956,7.85568141937,10.7656755447,16.5197505951,1.85904145241,4.86244916916,9.37373447418,1.82790565491,2.96175909042,14.7360944748
2018-05-23,3.98097610474,7.66825294495,10.4568071365,16.0338802338,1.7848649025,4.85457849503,9.17121219635,1.82566297054,2.97101473808,16.0929508209
2018-05-24,4.04462623596,7.56751060486,10.4903001785,16.3254032135,1.74777650833,4.84277868271,8.89057922363,1.8301486969,2.96175909042,14.9096460342
2018-05-25,3.969404459,7.65067768097,10.2707471848,16.2476634979,1.6828725338,4.85064649582,8.70542049408,1.74267828465,2.96175909042,13.0163612366
2018-05-28,3.85946559906,7.49136447906,9.91722393036,15.4573059082,1.5530642271,4.5673956871,8.06603813171,1.63502204418,2.77664923668,12.9280052185
2018-05-29,3.98097610474,7.49487876892,9.83162975311,15.3342180252,1.57624387741,4.60280227661,8.24830722809,1.67315042019,2.77664923668,13.1899089813
2018-05-30,4.10248804092,7.55813741684,9.70510673523,15.9237442017,1.65505671501,4.63820791245,8.78642940521,1.72025024891,2.77664923668,14.1933526993
2018-06-01,4.39180374146,7.9517416954,10.0846843719,16.4938411713,1.60869634151,4.75816583633,8.87032794952,1.70454990864,3.31809592247,14.1681108475
2018-06-04,4.45545291901,8.0724029541,10.2028131485,16.5521450043,1.61333239079,4.84483671188,8.99762821198,1.72025024891,3.33197879791,13.8841142654
2018-06-05,4.27607774734,8.16611385345,9.73363304138,16.2606220245,1.60406041145,4.69749879837,8.42478656769,1.64175057411,3.33197879791,13.8557157516
2018-06-06,4.25293302536,8.10410785675,9.48042488098,15.7099590302,1.51597619057,4.65849637985,8.00817680359,1.57446622849,3.33197879791,13.5685663223
2018-06-07,4.00990724564,7.87829732895,9.29051494598,15.5480012894,1.4186193943,4.42015504837,7.68703985214,1.52736628056,3.05431389809,13.0952444077
2018-06-08,4.05041217804,7.67004728317,9.32775115967,15.5739145279,1.46961581707,4.42448711395,7.79698085785,1.52736628056,3.14686989784,13.6632299423
2018-06-11,4.10827493668,7.52703475952,9.13784408569,15.8200912476,1.50670397282,4.32481861115,7.53948974609,1.51166677475,3.28570055962,13.473900795
2018-06-12,4.07934379578,7.53456258774,9.08943748474,16.0533123016,1.50670397282,4.29448413849,7.83175230026,1.48699617386,3.33197879791,13.1899089813
2018-06-13,4.0214805603,7.51574468613,8.92932224274,16.1051387787,1.48816013336,4.19047927856,7.6895699501,1.50493848324,3.23942327499,13.2530212402
2018-06-14,3.95204472542,7.51449108124,8.47131443024,15.9237442017,1.52061164379,4.16014623642,7.34136152267,1.50045275688,3.37825727463,13.4107933044
2018-06-15,3.79581522942,7.50194501877,8.68728542328,15.5026531219,1.5113401413,4.09514522552,7.25431203842,1.52512383461,3.37825727463,12.9595603943
2018-06-18,3.69166254997,7.42667531967,8.45269012451,15.3795661926,1.56233632565,4.03880834579,7.11502790451,1.4712959528,3.36437273026,12.5430345535
2018-06-19,3.74373745918,7.6035618782,8.82506084442,16.1893558502,1.5530642271,4.24681472778,7.61412334442,1.51839518547,3.13298606873,12.2905988693
2018-06-20,3.83632016182,7.68761301041,8.88091850281,15.807135582,1.57624387741,4.33348417282,7.83465671539,1.54306650162,3.13298606873,12.1170454025
2018-06-21,3.65694379807,7.43169307709,8.60536384583,15.3860435486,1.5530642271,4.20347976685,7.54738378525,1.48250985146,3.14224052429,12.7260513306
2018-06-22,3.67430329323,7.4705824852,8.78782367706,15.7164373398,1.52061164379,4.125477314,7.57350111008,1.47802424431,3.05431389809,12.8428077698
2018-06-25,3.63958334923,7.42040348053,8.73196983337,15.9043092728,1.55770015717,4.19047927856,7.79403018951,1.53858101368,3.12372994423,12.8364953995
2018-06-26,3.59329366684,7.41914844513,8.73942089081,16.901971817,1.5669721365,4.1731467247,7.88688373566,1.64623641968,3.23479676247,12.4673051834
2018-06-27,3.5180721283,7.35391521454,8.60908031464,16.6039714813,1.5530642271,4.15147972107,7.72438955307,1.57895183563,3.23479676247,12.4231300354
2018-06-28,3.67430329323,7.22721004486,8.88091850281,16.9732341766,1.53915643692,4.25548219681,8.1683511734,1.61483693123,3.23479676247,12.4578371048
2018-06-29,3.58750772476,7.27613544464,9.0782699585,17.1351909637,1.5530642271,4.29015111923,8.31344032288,1.63726520538,3.23479676247,12.3379297256
2018-07-02,3.47178125381,7.31878757477,9.02293682098,16.6557998657,1.53915643692,4.33348417282,8.52816772461,1.66866469383,3.22554087639,12.7607660294
2018-07-03,3.52385902405,7.37524175644,9.2508354187,17.1675834656,1.57160794735,4.4851565361,8.60361289978,1.67090713978,3.01729226112,12.5745925903
2018-07-04,3.62801289558,7.42918395996,9.44222736359,17.3230628967,1.61333239079,4.53715848923,8.85025691986,1.70454990864,3.08670902252,13.0952444077
2018-07-05,3.46599674225,7.40660190582,9.3821849823,17.2129306793,1.63187623024,4.55449151993,8.64423370361,1.72025024891,3.10059189796,13.6316776276
2018-07-06,3.52964520454,7.45176553726,9.45348739624,17.5692424774,1.66432857513,4.57182693481,8.54847812653,1.7337064743,3.10059189796,14.1207752228
