date,VULC3,BBDC3,ISAE4,POMO3,UNIP6,TAEE11,LAVV3,ITSA4,RDOR3,VIVA3
2022-06-13,6.38874769211,11.0009822845,17.0267810822,1.0410503149,54.9436340332,28.1221427917,3.05957388878,4.92084121704,27.2991809845,19.1287879944
2022-06-14,6.34675645828,10.9166841507,16.9750041962,1.05068969727,53.5390167236,28.0734806061,3.02729988098,4.90397119522,27.2395019531,19.3301467896
2022-06-15,6.42474079132,10.9939575195,16.9380207062,1.06032907963,54.3549766541,28.0804328918,3.09830379486,4.94333791733,27.0263557434,21.1789569855
2022-06-17,6.34675645828,10.8183383942,17.1821079254,1.05068969727,54.2733879089,27.8163108826,3.00793600082,4.85335636139,25.6963577271,20.7396354675
2022-06-20,6.26277208328,11.036108017,17.2486782074,1.05550920963,53.8012962341,27.9344749451,2.9821164608,5.00519895554,25.2785968781,20.3094673157
2022-06-21,6.3287563324,10.957036972,17.1895065308,1.04586982727,54.0635719299,27.663394928,2.949842453,4.96020936966,25.8071880341,20.3094673157
2022-06-22,6.44873380661,10.9001932144,17.4040050507,1.0410503149,52.8046531677,27.5869426727,2.93693327904,4.98270463943,25.5087890625,20.2820091248
2022-06-23,6.65269517899,10.6372766495,17.0785560608,1.06514894962,52.5015716553,27.2602653503,2.96920657158,4.875852108,25.2359714508,21.0233612061
2022-06-24,6.48472929001,10.6230707169,17.0267810822,1.06996870041,53.5972976685,27.1073513031,2.96920657158,4.85335636139,25.2359714508,20.7670917511
2022-06-27,6.51472330093,10.7154455185,17.0637645721,1.06514894962,55.1359786987,27.1699085236,2.99502539635,4.9152173996,25.0739765167,21.0599746704
2022-06-28,6.37075138092,10.6159620285,17.0489711761,1.05550920963,55.7246360779,27.3367214203,3.00793600082,4.85335636139,24.1191082001,20.6115016937
2022-06-29,6.22077989578,10.4596347809,16.9824028015,1.0410503149,54.7454833984,26.8154277802,3.00148081779,4.80274152756,24.8011627197,20.1630268097
2022-06-30,6.13079833984,10.2180452347,16.9897975922,1.02659142017,53.0960655212,26.8432254791,2.9821164608,4.69026517868,24.7073764801,20.1172637939
2022-07-01,6.23277711868,10.2393569946,17.2190914154,1.01695179939,54.4016151428,27.3019676208,3.00793600082,4.67901611328,24.4516067505,20.1355686188
2022-07-04,6.26877117157,10.1306905746,16.9084396362,1.00731265545,52.4957542419,26.8640766144,2.93047809601,4.63965034485,24.6135921478,19.8060779572
2022-07-05,6.17279052734,10.1662607193,16.8196773529,1.01213252544,51.7672080994,26.7389678955,2.92402362823,4.64527463913,24.8267421722,20.0348911285
2022-07-06,6.29876565933,10.1306905746,16.9528121948,1.03141117096,50.2751502991,26.9266300201,2.93047809601,4.63965034485,25.4917392731,20.3460769653
2022-07-07,6.29876565933,10.2587461472,17.1895065308,1.07960760593,52.4432907104,27.2324619293,2.94338798523,4.69026517868,25.7836608887,21.0508232117
2022-07-08,6.25077342987,10.2943143845,17.1229362488,1.07960760593,52.5132369995,27.1629543304,2.91111445427,4.71838378906,25.5183773041,20.7487888336
2022-07-11,6.28076887131,10.1378030777,17.1303348541,1.07960760593,52.5773468018,27.183807373,2.81429171562,4.62277889252,24.9450321198,19.824382782
2022-07-12,6.41874313354,10.1093444824,17.1968994141,1.0410503149,52.7871665955,27.2255096436,2.80783700943,4.6115322113,25.2188682556,19.641330719
2022-07-13,6.41874313354,9.91725921631,17.2412796021,1.03623044491,51.7613830566,27.1699085236,2.80783700943,4.56654024124,24.1320724487,18.8084526062
2022-07-14,6.23277711868,9.69671726227,17.1081428528,1.0410503149,49.9429397583,27.503534317,2.77556347847,4.55529356003,23.5501594543,18.8450603485
2022-07-15,6.31076288223,9.78208827972,16.9306221008,1.05550920963,48.8064193726,27.5243930817,2.85947537422,4.69588756561,22.857006073,18.9274349213
2022-07-18,6.22077989578,9.86034584045,16.9454174042,1.02177155018,49.3426170349,27.4340267181,2.8336558342,4.74088001251,22.2494277954,18.9640426636
2022-07-19,6.09480571747,10.1947164536,16.9010410309,1.03623044491,51.4408226013,27.2950153351,2.87884068489,4.83086061478,23.113735199,19.3118400574
2022-07-20,6.46073389053,10.0310897827,16.9084396362,1.04586982727,51.8021736145,27.4340267181,2.949842453,4.75775098801,24.2347564697,20.0348911285
2022-07-21,6.49672651291,10.1520299911,17.0415744781,1.04586982727,51.5632095337,27.5591373444,3.04666519165,4.81398916245,26.1259613037,19.5498065948
2022-07-22,6.48472929001,10.0737771988,17.0267810822,1.04586982727,51.5807037354,27.9761772156,2.96920657158,4.76337528229,25.8863544464,19.4399738312
2022-07-25,6.57471179962,10.1804866791,17.0785560608,1.04586982727,51.7497177124,28.233341217,2.87884068489,4.80274152756,26.4254703522,19.412519455
2022-07-26,6.47872972488,10.1591424942,16.9454174042,1.02177155018,50.3567504883,28.087387085,2.87884068489,4.79149436951,25.7237586975,19.0921821594
2022-07-27,6.61070299149,10.2160596848,17.2264862061,1.03141117096,51.176399231,28.1151866913,2.9821164608,4.81398916245,26.4939346313,19.7237033844
