point,brazilian_stocks,fiis,international_equity,fixed_income,crypto,total_return,annualized_return,annualized_volatility,max_drawdown,calmar,hhi,feasible
910,0.24,0.16,0.19,0.22,0.19,0.8586204799804928,0.22944688735353513,0.13687356546102622,-0.10182227689663992,2.253405584187116,0.2038,True
911,0.25,0.2,0.17,0.18,0.2,0.8585668856870261,0.22943507268753094,0.14144168213888433,-0.1003949960141769,2.285323788997732,0.2038,True
912,0.22,0.16,0.19,0.24,0.19,0.8548422137321028,0.22861342529958883,0.135348687391846,-0.10163251615570235,2.249412234853559,0.2038,True
913,0.2,0.18,0.17,0.25,0.2,0.8548057890551768,0.2286053847356948,0.13750270651203006,-0.10055038585331355,2.2735406015168595,0.2038,True
914,0.23,0.2,0.15,0.22,0.2,0.8473333075771132,0.22695364092576398,0.1384077336685777,-0.09556976415552432,2.3747431306457307,0.2038,True
915,0.22,0.2,0.15,0.23,0.2,0.8454506196350287,0.22653678256603227,0.13766584499334591,-0.09547632278004237,2.3727011678898235,0.2038,True
916,0.25,0.17,0.2,0.2,0.18,0.8442954009703123,0.2262808575919124,0.13384990624709278,-0.09955940012574382,2.2728226295670626,0.2038,True
917,0.23,0.22,0.15,0.2,0.2,0.8416537647159568,0.22569523254583435,0.13868085045252826,-0.094921076841879,2.377714624137703,0.2038,True
918,0.24,0.19,0.16,0.22,0.19,0.8388268839576916,0.22506791990424868,0.13493876894969817,-0.09390854254676773,2.3966714188132756,0.2038,True
919,0.22,0.19,0.16,0.24,0.19,0.835084620522837,0.22423648503797589,0.13338765441153064,-0.09372217250652792,2.392566017634273,0.2038,True
920,0.2,0.17,0.2,0.25,0.18,0.8349204965394992,0.2241999950356217,0.12997694722395942,-0.09908607407041792,2.262679161920257,0.2038,True
921,0.2,0.18,0.25,0.2,0.17,0.8336858240770344,0.22392541813453093,0.1297153830847524,-0.10598171945309665,2.112868325689239,0.2038,True
922,0.24,0.22,0.16,0.19,0.19,0.8303346329773311,0.22317953003616187,0.1353542741097537,-0.09292289318040459,2.4017712147949517,0.2038,True
923,0.25,0.2,0.17,0.2,0.18,0.8244996543928735,0.22187863945258401,0.1318547967117178,-0.09157244800757114,2.422984688956216,0.2038,True
924,0.25,0.18,0.2,0.2,0.17,0.8242000886954941,0.22181177738338698,0.1292390184817861,-0.09483041087598953,2.3390363421861786,0.2038,True
925,0.17,0.2,0.2,0.25,0.18,0.8208108540815706,0.22105480100709074,0.12833644465694588,-0.09784538995512682,2.2592255098423073,0.2038,True
926,0.2,0.2,0.17,0.25,0.18,0.8152148375458343,0.2198028870529951,0.12791063565423,-0.09110777623277488,2.4125590168221422,0.2038,True
927,0.2,0.18,0.2,0.25,0.17,0.8149200934233563,0.2197368770187047,0.12521893075916504,-0.09436116018559804,2.3286792636557925,0.2038,True
928,0.25,0.2,0.18,0.2,0.17,0.8110101998135599,0.2188605515757307,0.12787198948782316,-0.08945091316678533,2.446711205369756,0.2038,True
929,0.19,0.19,0.24,0.22,0.16,0.8080033820055714,0.2181857743058453,0.12336876822234841,-0.0988809342412279,2.2065504940878062,0.2038,True
930,0.2,0.2,0.18,0.25,0.17,0.8017903452827637,0.2167890970208406,0.12379997135760962,-0.08898757529075818,2.4361726489625486,0.2038,True
931,0.19,0.19,0.22,0.24,0.16,0.8004881020291073,0.216495948632498,0.12150947038490198,-0.09419010820491236,2.298499839935495,0.2038,True
932,0.24,0.19,0.19,0.22,0.16,0.798364320982617,0.216017560190241,0.12291404216874559,-0.08755909410801566,2.4671059287542985,0.2038,True
933,0.22,0.19,0.19,0.24,0.16,0.7947001058873611,0.21519129771700718,0.12120792887582217,-0.08737431369313242,2.462866815443966,0.2038,True
934,0.24,0.22,0.19,0.19,0.16,0.7899791607380398,0.21412508803046504,0.12334835222526846,-0.08652936303698444,2.474594525085589,0.2038,True
935,0.22,0.2,0.23,0.2,0.15,0.789562376736658,0.21403086872836385,0.12013759395330423,-0.09202600477031708,2.3257650841471644,0.2038,True
936,0.23,0.2,0.22,0.2,0.15,0.7876073409841633,0.213588712752391,0.12007074545219737,-0.0897421512162152,2.380026663700016,0.2038,True
937,0.2,0.2,0.23,0.22,0.15,0.7858979931245866,0.21320185792863655,0.11850508853564112,-0.0918381140742246,2.321496473199835,0.2038,True
938,0.2,0.2,0.22,0.23,0.15,0.782125215165578,0.21234713876400502,0.11756840383370784,-0.08946213930496727,2.373597819298009,0.2038,True
939,0.19,0.22,0.19,0.24,0.16,0.7808368582862606,0.21205498645395293,0.11925653019533171,-0.08606739585270895,2.4638248241744445,0.2038,True
940,0.23,0.2,0.2,0.22,0.15,0.7800284349564777,0.2118715935905222,0.11827657490882906,-0.0849633734587476,2.4936815119916647,0.2038,True
941,0.22,0.2,0.2,0.23,0.15,0.7782107093305994,0.2114590350592882,0.1174064633246409,-0.08487126706935133,2.491526783575618,0.2038,True
