point,brazilian_stocks,fiis,international_equity,fixed_income,crypto,total_return,annualized_return,annualized_volatility,max_drawdown,calmar,hhi,feasible
748,0.21,0.16,0.25,0.33,0.05,0.6245824179602852,0.17552325766579302,0.07717112028891868,-0.051626183857352737,3.3998882844174148,0.2436,True
749,0.15,0.21,0.28,0.31,0.05,0.6130421911773412,0.17273383196118286,0.07525944640245427,-0.05680431950199538,3.040857341053354,0.2436,True
750,0.16,0.21,0.25,0.33,0.05,0.6031352340513034,0.17032855534995917,0.07232741960293212,-0.049981213878035224,3.4078515132825107,0.2436,True
751,0.16,0.25,0.21,0.33,0.05,0.5772888720290468,0.16400639177871845,0.06814316056930288,-0.039992357782607124,4.1009433019737,0.2436,True
752,0.15,0.28,0.21,0.31,0.05,0.5678926936015629,0.16169091972630123,0.0676737389166068,-0.04007782758689549,4.034423257491391,0.2436,True
753,0.2,0.13,0.33,0.27,0.07,0.6994366920579054,0.193303238416773,0.09312324200295913,-0.08167870485235385,2.3666295733532596,0.24360000000000004,True
754,0.24,0.12,0.29,0.29,0.06,0.6747544609812384,0.18749927507904918,0.08856965182012454,-0.06800464794829642,2.757153823097561,0.2438,True
755,0.17,0.3,0.18,0.3,0.05,0.5544869008344542,0.1583712989347763,0.06698261121578283,-0.038600235669350114,4.1028583424045895,0.2438,True
756,0.21,0.14,0.26,0.33,0.06,0.6525592857288134,0.18223123366032978,0.08173308876054146,-0.059175984456080744,3.0794795445368255,0.24380000000000002,True
757,0.29,0.11,0.3,0.23,0.07,0.708749261376441,0.19547845913149042,0.09930664733620471,-0.07724147930579872,2.5307446321372478,0.244,True
758,0.3,0.11,0.29,0.23,0.07,0.706527846977933,0.19496030259317365,0.0994505114014138,-0.07549629917797618,2.582382245433927,0.244,True
759,0.23,0.11,0.3,0.29,0.07,0.6983749002002448,0.19305472183609318,0.0922047506129079,-0.07532196516154266,2.5630600771242444,0.244,True
760,0.23,0.11,0.29,0.3,0.07,0.6944598708062444,0.19213749755587628,0.09099540100847194,-0.07285543521767279,2.6372431512051255,0.244,True
761,0.29,0.11,0.23,0.3,0.07,0.6811082264354678,0.18899876858599374,0.09173969688153252,-0.06222015254382862,3.037581247536491,0.244,True
762,0.24,0.12,0.3,0.28,0.06,0.6786805967045761,0.18842629290720514,0.08978724628225138,-0.0703410893511145,2.6787514189132997,0.244,True
763,0.24,0.12,0.28,0.3,0.06,0.670826991304015,0.18657049143665194,0.0873681555569428,-0.06566123151831382,2.841410176484656,0.244,True
764,0.28,0.12,0.24,0.3,0.06,0.6618205550570191,0.1844351035133116,0.08800128190779476,-0.06093008281714429,3.0269957791919477,0.244,True
765,0.17,0.29,0.18,0.31,0.05,0.5570558726134884,0.15900891699698083,0.0667489345628056,-0.03847880963865591,4.132376195890428,0.244,True
766,0.25,0.13,0.34,0.21,0.07,0.7120584086629587,0.19624950286538922,0.09965425571381759,-0.08458758570053149,2.320074526777233,0.24400000000000002,True
767,0.21,0.13,0.34,0.25,0.07,0.7050701918319657,0.19462005248866476,0.09541380372937362,-0.08421344092016791,2.311033136303733,0.24400000000000002,True
768,0.2,0.14,0.32,0.28,0.06,0.6742589598661801,0.18738217711150185,0.08818235738180069,-0.07412958546055948,2.527765074461373,0.24400000000000002,True
769,0.2,0.14,0.28,0.32,0.06,0.6586722182087377,0.18368682633695133,0.08306139973867634,-0.06413614332171236,2.8640142176239465,0.24400000000000002,True
770,0.19,0.15,0.27,0.33,0.06,0.6504111224698053,0.18171886727244901,0.08088129900345452,-0.061130068734350784,2.9726592990126286,0.24400000000000002,True
771,0.19,0.17,0.26,0.33,0.05,0.6225167979651904,0.17502494290254633,0.07619921834748627,-0.05334990647555937,3.280698214208279,0.24400000000000002,True
772,0.21,0.17,0.23,0.34,0.05,0.6141331194994986,0.1729980921385026,0.07497376127869326,-0.04816337636553791,3.5919012576179563,0.24400000000000002,True
773,0.17,0.19,0.26,0.33,0.05,0.6139161492972571,0.17294554401841444,0.07432061822023016,-0.0528072583651511,3.275033572516345,0.24400000000000002,True
774,0.17,0.21,0.23,0.34,0.05,0.5970569353224904,0.1688479166243828,0.07090958639946827,-0.045396740262312885,3.719384159495603,0.24400000000000002,True
775,0.17,0.23,0.21,0.34,0.05,0.5841141281883424,0.16568255885013583,0.06888432130970282,-0.04020096712037491,4.121357537345502,0.24400000000000002,True
776,0.17,0.26,0.19,0.33,0.05,0.5686293498216852,0.16187278541759698,0.06719261967525463,-0.038914896220213935,4.15966123876013,0.24400000000000002,True
777,0.16,0.3,0.19,0.3,0.05,0.5567033051130685,0.15892145139015312,0.06690737135765099,-0.037595100221396116,4.227185203770458,0.2442,True
778,0.2,0.15,0.25,0.34,0.06,0.6443086688723954,0.18026091841630354,0.07954306630700096,-0.05620253138574394,3.207345184847451,0.24420000000000003,True
779,0.28,0.11,0.31,0.23,0.07,0.7109591425001585,0.19599348002761285,0.09922513020558237,-0.07898210084783974,2.4814923624935905,0.2444,True
780,0.31,0.11,0.28,0.23,0.07,0.7042948851533459,0.19443899913299734,0.09965632617599006,-0.07374654253288804,2.6365846106790056,0.2444,True
781,0.23,0.11,0.31,0.28,0.07,0.702288552791944,0.19397021565076322,0.09342921916972076,-0.07778039423135219,2.493818880292799,0.2444,True
782,0.28,0.11,0.23,0.31,0.07,0.6794144277629242,0.1885994007164189,0.09040675575816443,-0.06052664870811186,3.1159729597112578,0.2444,True
783,0.16,0.29,0.19,0.31,0.05,0.5592756529453111,0.15955930119967032,0.06667600968579633,-0.03747287541457489,4.2579946010124035,0.2444,True
784,0.21,0.13,0.3,0.3,0.06,0.6708623480677764,0.18657885923440354,0.08652220003052023,-0.06962293582524193,2.6798476252528123,0.24459999999999998,True
785,0.2,0.16,0.23,0.35,0.06,0.6338605573024367,0.177756341405914,0.07734623694043163,-0.051427739885938406,3.456429191719485,0.24459999999999998,True
786,0.18,0.15,0.31,0.3,0.06,0.6642530404860933,0.1850125945647212,0.08499144669262126,-0.07108277174053623,2.6027768759503003,0.2446,True
