date,portfolio,ifix
2023-07-28,11413.059140071327,11265.807543708677
2023-07-31,11435.306118428744,11322.220687652498
2023-08-01,11508.657798306118,11294.421366876666
2023-08-02,11465.324924062374,11304.44328761496
2023-08-03,11509.473893276703,11338.298256610748
2023-08-04,11659.652742360015,11391.20549895354
2023-08-07,11679.186183345873,11400.944114511953
2023-08-08,11667.937596726772,11391.80752246079
2023-08-09,11642.971760130313,11375.304995732715
2023-08-10,11628.601868585398,11378.669244743804
2023-08-11,11637.288069778107,11405.476997390051
2023-08-14,11588.983831602716,11383.804151129149
2023-08-15,11599.078631906852,11383.697911686691
2023-08-16,11573.57736342639,11376.013258682418
2023-08-17,11545.556674073541,11354.694543896367
2023-08-18,11556.978322891428,11365.88509850167
2023-08-21,11468.527906933294,11343.574815586035
2023-08-22,11412.037458060175,11315.102645007986
2023-08-23,11402.66565817384,11295.55458759619
2023-08-24,11415.719936877716,11296.971113495598
2023-08-25,11441.399076808308,11321.937382472617
2023-08-28,11425.62971489857,11293.571451337024
2023-08-29,11367.004817519277,11305.399442597058
2023-08-30,11435.19851661597,11360.537713231415
2023-08-31,11449.894441945613,11377.571437171766
2023-09-01,11535.348435878548,11393.224048360196
2023-09-04,11535.305644440305,11394.6405742596
2023-09-05,11503.619835224139,11388.124555122335
2023-09-06,11564.215656106864,11410.186946005573
2023-09-08,11658.09015169965,11475.028419050857
2023-09-11,11587.43041429371,11427.574801420775
2023-09-12,11597.160339272856,11420.173453596382
2023-09-13,11532.563418837823,11389.505667874255
2023-09-14,11546.268285747394,11390.284757118929
2023-09-15,11584.077661455547,11452.824375577677
2023-09-18,11616.031242383362,11450.416281548687
2023-09-19,11570.221588609611,11436.746806619427
2023-09-20,11593.822126739064,11419.67766953159
2023-09-21,11558.808427881364,11418.048664747274
2023-09-22,11605.711100820048,11425.662491456578
2023-09-25,11505.678500112617,11382.777169852081
2023-09-26,11381.301558403999,11329.161664559584
2023-09-27,11379.58742480929,11307.94918921599
2023-09-28,11360.28576866379,11308.02001551096
2023-09-29,11459.013751937508,11400.483743594647
2023-10-02,11364.315097929151,11322.043621915072
2023-10-03,11300.821454405106,11317.050368119668
2023-10-04,11258.831771358844,11278.343797918415
2023-10-05,11297.687459937157,11272.536041730855
2023-10-06,11276.932892840503,11272.748520615765
2023-10-09,11215.031211347274,11259.079045686502
2023-10-10,11229.488910139122,11262.762013024956
2023-10-11,11181.957969608122,11274.731656874932
2023-10-13,11235.213443924478,11303.912090402684
2023-10-16,11238.31542321171,11297.396071265417
2023-10-17,11206.920842323318,11272.642281173308
2023-10-18,11167.221681971976,11239.424748832253
2023-10-19,11183.399298037453,11205.003169476699
2023-10-20,11157.721845851473,11220.407888632733
2023-10-23,11182.651926282007,11234.466908184333
2023-10-24,11093.16191155737,11174.72492837691
2023-10-25,11083.246106401923,11155.885133914819
2023-10-26,11022.195365387275,11125.996437437361
2023-10-27,11036.541089315491,11175.291538736672
2023-10-30,11032.371005061548,11176.637238341107
2023-10-31,11059.199185891042,11175.326951884157
2023-11-01,11054.836494207442,11144.340447834662
2023-11-03,11099.891712171044,11191.935718054685
2023-11-06,11092.227491674466,11200.505699746089
2023-11-07,11090.604434112125,11236.4500444435
2023-11-08,11066.882633583316,11240.912101026628
2023-11-09,11049.330014452782,11253.41294208888
2023-11-10,11171.623871076878,11269.100966424794
2023-11-13,11152.127275387515,11262.230815812678
2023-11-14,11175.115190152508,11276.962685166496
2023-11-16,11179.786334623639,11301.46858322621
2023-11-17,11170.823345978277,11324.02675817424
2023-11-20,11153.947991922443,11319.600114738598
2023-11-21,11148.835227447747,11301.610235816152
2023-11-22,11126.690789082235,11260.318505848481
2023-11-23,11139.658771131619,11255.998101855295
2023-11-24,11117.97160408835,11241.868256008725
2023-11-27,11003.47809268247,11187.686140356469
2023-11-28,11071.679706431249,11217.07905276913
2023-11-29,11157.899790173033,11204.71986429682
2023-11-30,11287.052666457235,11249.19877753815
2023-12-01,11291.625811913407,11243.95763171035
2023-12-04,11265.673697132599,11277.493882378772
2023-12-05,11285.565007783098,11296.439916283322
2023-12-06,11321.580154692601,11301.291517488782
2023-12-07,11305.925576772155,11260.283092700996
2023-12-08,11326.380295552482,11295.448348153735
2023-12-11,11285.72005949926,11264.886801874063
2023-12-12,11246.885869300764,11224.799118920891
2023-12-13,11282.47207457429,11250.934021764922
2023-12-14,11391.473055761078,11276.360661659248
2023-12-15,11342.425122718632,11295.448348153735
2023-12-18,11387.043646901166,11323.389321519508
2023-12-19,11393.72129748718,11356.111069795774
2023-12-20,11441.25149184277,11376.650695337152
2023-12-21,11543.960994329582,11447.193685127539
2023-12-22,11654.72303728786,11546.35049808592
2023-12-26,11747.488613659374,11634.63547476636
2023-12-27,11739.770830563819,11681.380829446742
2023-12-28,11817.974680042413,11726.815897670169
2024-01-02,11831.514026921846,11736.235794901215
2024-01-03,11862.886640566827,11772.782163105874
2024-01-04,11840.63085805386,11758.510664669366
2024-01-05,11833.31841638884,11772.144726451144
2024-01-08,11927.567961193601,11782.308299779375
2024-01-09,11876.524514852135,11774.517407332647
2024-01-10,11875.519047014232,11774.34034159522
2024-01-11,11856.241339894299,11750.40105389527
2024-01-12,11891.785055211545,11777.350459131458
2024-01-15,11890.031303044154,11800.262765554342
2024-01-16,11910.561767031077,11808.549442065863
2024-01-17,11928.80798405846,11801.466812568835
2024-01-18,11954.749594859848,11791.940675895334
2024-01-19,11973.653906717687,11828.557870394963
2024-01-22,11990.554635300938,11806.95585042903
2024-01-23,11960.799248057363,11792.790591434976
2024-01-24,11942.404536059015,11772.817576253361
2024-01-25,11937.672727690904,11772.46344477851
2024-01-26,11927.395546694952,11798.208803000203
2024-01-29,11926.200986386066,11789.922126488682
2024-01-30,11933.31002359548,11783.901891416208
2024-01-31,11981.665124546855,11805.00812731735
2024-02-01,11878.94211978759,11758.829382996732
2024-02-02,11924.514874969002,11802.777099025785
2024-02-05,11916.899610662302,11785.247591020643
2024-02-06,11935.762174807005,11801.360573126378
2024-02-07,12052.595500606762,11830.434767211675
2024-02-08,11994.7720526261,11827.212170790528
2024-02-09,12071.00792100535,11870.451623869878
2024-02-14,12058.252754002588,11838.296485953375
2024-02-15,12054.035181593239,11860.535942574039
2024-02-16,12060.105128895535,11863.793952142674
2024-02-19,12046.11234401555,11888.299850202386
2024-02-20,12064.603138727856,11890.46005219898
2024-02-21,12050.08085611512,11884.793948601358
2024-02-22,12075.041232510754,11879.340323888648
2024-02-23,12147.828142444367,11910.291414790654
2024-02-26,12094.538518659836,11870.557863312335
2024-02-27,12084.267111650648,11849.239148526283
2024-02-28,12084.218339754862,11839.748425000267
2024-02-29,12155.082549165185,11898.817555005471
2024-03-01,12343.356270644595,11921.836100870809
2024-03-04,12261.83513021614,11915.922105240792
2024-03-05,12240.736034179978,11923.465105655127
2024-03-06,12220.480944004617,11917.161565402772
2024-03-07,12268.332032910084,11940.46341644799
2024-03-08,12358.64285867404,11977.718047602355
2024-03-11,12349.520438800671,11949.989553121492
2024-03-12,12293.023141519454,11929.83947220245
2024-03-13,12247.979068639712,11925.16493673441
2024-03-14,12247.01012897832,11918.932222777028
2024-03-15,12295.420599725923,11923.642171392552
2024-03-18,12334.477477679085,11948.431374632148
2024-03-19,12297.650140011436,11947.121088175196
2024-03-20,12284.933834621505,11963.446549165843
2024-03-21,12284.295106236485,11974.105906558869
2024-03-22,12294.152153811016,12016.17672577121
2024-03-25,12268.070452692435,12005.234063198304
2024-03-26,12314.926119610098,12013.024955645033
2024-03-27,12346.265477351724,12024.215510250335
2024-03-28,12372.770941763589,12069.3318601464
2024-04-01,12347.871209616405,12052.546028238445
2024-04-02,12362.897107331793,12063.736582843747
2024-04-03,12389.122262982688,12083.036748223147
2024-04-04,12384.382806587822,12091.040119554787
2024-04-05,12391.704327472353,12119.016506068043
2024-04-08,12389.632940023623,12117.918698496003
2024-04-09,12357.478692706569,12113.987839125155
2024-04-10,12348.860386242435,12105.736575761117
2024-04-11,12333.690683743233,12102.691045077396
2024-04-12,12363.762240887283,12125.28463317291
2024-04-15,12315.827072524524,12085.374015957164
2024-04-16,12287.101131898995,12049.394258112266
2024-04-17,12230.192773297682,12009.69611978143
2024-04-18,12236.477546633461,11993.653963970664
2024-04-19,12272.581015854152,12009.20033571664
2024-04-22,12296.821086900853,11969.643849975742
2024-04-23,12244.04125446939,11945.704562275789
2024-04-24,12202.892411913623,11917.976067794929
2024-04-25,12181.393716838935,11901.863085689192
2024-04-26,12222.895823166467,11922.686016410451
2024-04-29,12274.673677600778,11951.68938420078
2024-04-30,12325.139524668304,11975.982803375582
2024-05-02,12298.978378657677,11956.895116881095
2024-05-03,12308.707413737367,12010.758514205985
2024-05-06,12310.741188839098,12014.299828954498
2024-05-07,12317.545823575594,12021.099153271643
2024-05-08,12315.4693005039,12033.741646923836
2024-05-09,12289.459225102422,12002.471837694462
2024-05-10,12323.033817850184,12032.643839351798
2024-05-13,12220.666243557624,11957.249248355945
2024-05-14,12207.878311107841,11926.156504863997
2024-05-15,12181.817033092664,11943.402707689256
2024-05-16,12245.701112265157,11968.014845191427
2024-05-17,12301.712768524292,12013.237434529945
2024-05-20,12274.011239413867,12009.519054044005
2024-05-21,12287.10650716299,11993.547724528209
2024-05-22,12238.531433650212,11982.888367135183
2024-05-23,12214.231371844218,11951.051947546046
2024-05-24,12194.786284349235,11966.137948374715
2024-05-27,12072.749378242488,11951.335252725927
2024-05-28,12040.658445605508,11911.849593280001
2024-05-29,12085.407569610701,11938.161561861458
2024-05-31,12261.82799342199,11977.930526487264
2024-06-03,12138.98505231113,11939.825979793257
2024-06-04,12064.214627027897,11913.124466589466
2024-06-05,11993.899968846765,11884.935601191297
2024-06-06,12040.976037686823,11894.886695634621
2024-06-07,11996.465533388146,11894.74504304468
2024-06-10,11986.76721455569,11846.441509874956
2024-06-11,11944.314028410034,11810.213859997662
