date,CXSE3,FIQE3,UNIP3,MBRF3,TAEE3,BMOB3,POMO3,JHSF3,PSSA3,LAVV3,SIMH3,AZZA3,PFRM3
2025-07-01,13.5949306488,2.93534421921,44.5507583618,22.6000003815,10.6512508392,19.2489509583,4.97293806076,5.02776050568,51.5596237183,10.6650657654,9.92255306244,37.3454589844,8.13457870483
2025-07-02,13.5489702225,2.93534421921,44.7555084229,22.1299991608,10.5776023865,19.0294857025,5.01178979874,4.86152124405,51.3995895386,10.3493795395,9.53035736084,35.9643135071,7.82848930359
2025-07-03,13.5122032166,2.9583966732,45.1820793152,21.9400005341,10.6696624756,19.81590271,5.02733039856,4.89870357513,53.2917709351,10.5370845795,9.7460641861,37.3091125488,7.77283620834
2025-07-04,13.6960411072,3.01218533516,46.1973114014,22.2299995422,10.6972799301,20.1908226013,5.07395124435,4.92659091949,53.3388404846,10.7589168549,9.45191860199,37.3363723755,7.85631513596
2025-07-07,13.4662427902,2.93534421921,44.7725715637,23.1399993896,10.6420440674,20.702911377,5.08172178268,4.85222673416,52.0114898682,10.6480007172,9.41269874573,36.6003646851,7.58732700348
2025-07-08,13.4110898972,2.91229176521,45.6939620972,23.6800003052,10.5131616592,21.1235523224,5.31482791901,4.88011455536,51.1548271179,10.6565332413,9.1969909668,35.1647033691,7.50384807587
2025-07-09,13.2915945053,2.90460705757,45.2417984009,22.5599994659,10.4763383865,20.7577781677,5.08949184418,4.83363580704,49.7804069519,10.6138734818,9.07933235168,33.6199989319,7.59660196304
2025-07-10,13.3927059174,2.84313392639,45.3100471497,24,10.4579257965,20.5748882294,5.07395124435,4.83363580704,49.9498558044,10.7333221436,9.13816165924,33.1565895081,7.69863271713
2025-07-11,13.2364425659,2.86618614197,43.9450302124,23,10.3750724792,20.0170783997,5.00401926041,4.85222673416,49.2814712524,10.7930459976,8.70674610138,32.4205818176,7.68935680389
2025-07-14,13.300786972,2.83544993401,44.3971939087,23,10.2738075256,19.9073486328,4.98070859909,4.74997663498,49.714515686,10.7503862381,8.72635555267,31.9753456116,7.64298009872
