TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BDLL4;7,45;;-0,44;-0,05;0,02;19,03;-36,02;-63,99;-0,79;-12,07;-11,22;;0,28;-0,05;-0,04;0,46;-11,51;-5,05;52,00;-0,44;1,44;0,08;-2,75;;3.003,75;-145,99;-16,80;0,00;12.861.147,60
BEEF3;5,11;;-4,23;-7,81;0,13;20,09;7,02;-3,16;1,90;7,74;5,83;;0,13;0,69;-0,29;1,48;-184,64;-2,99;9,57;-0,02;1,00;0,95;14,75;;50.963.483,00;-0,65;-1,21;0,00;5.081.840.742,02
BEES3;8,49;6,06;5,67;1,17;0,07;32,29;14,88;10,23;3,90;3,89;;;0,58;0,35;-0,09;;20,68;1,24;;0,06;0,94;0,12;17,11;17,04;66.296,00;7,23;1,50;0,16;2.674.458.564,00
BEES4;8,40;6,12;5,61;1,16;0,07;32,29;14,88;10,23;3,86;3,89;;;0,57;0,35;-0,09;;20,68;1,24;;0,06;0,94;0,12;17,11;17,04;30.835,43;7,23;1,50;0,15;2.674.458.564,00
BFRE11;0,00;;0,00;0,00;0,00;100,00;195,96;118,16;0,00;;;;0,00;0,00;0,00;;6,82;5,98;;0,88;0,10;0,05;;6,26;;309.815,90;21.126,92;0,00;
BFRE12;0,00;;0,00;0,00;0,00;100,00;195,96;118,16;0,00;;;;0,00;0,00;0,00;;6,82;5,98;;0,88;0,10;0,05;;6,26;;309.815,90;21.126,92;0,00;
BGIP3;34,99;11,03;5,14;0,93;0,06;38,64;16,06;11,39;3,64;3,36;;;0,59;-5,07;-0,14;0,98;18,11;1,25;;0,07;0,93;0,11;13,57;11,90;4.216,33;37,59;6,81;0,02;694.391.647,30
BGIP4;29,46;14,41;4,33;0,78;0,05;38,64;16,06;11,39;3,07;3,36;;;0,49;-4,27;-0,12;0,98;18,11;1,25;;0,07;0,93;0,11;13,57;11,90;38.591,10;37,59;6,81;0,02;694.391.647,30
BHIA3;3,03;;-0,18;0,09;0,01;30,06;-1,82;-5,98;-0,60;-14,97;-14,38;2,15;0,01;-0,07;-0,02;0,76;-49,14;-5,11;-11,40;0,10;0,90;0,85;1,39;;9.671.176,00;34,10;-16,75;0,02;288.113.600,91
BIDI11;10,40;;-238,07;1,08;0,23;50,04;-13,62;-5,22;-91,21;-91,21;;;12,42;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;9,67;-0,04;0,13;8.991.139.764,53
BIDI3;3,40;;-233,49;1,06;0,23;50,04;-13,62;-5,22;-89,46;-91,21;;;12,19;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;3,22;-0,01;0,12;8.991.139.764,53
BIDI4;3,41;;-234,18;1,06;0,23;50,04;-13,62;-5,22;-89,72;-91,21;;;12,22;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;3,22;-0,01;0,12;8.991.139.764,53
BIOM3;7,63;;-13,48;3,86;2,16;11,61;-40,66;-49,90;-16,54;-16,58;-0,04;0,01;6,72;6,99;-4,29;2,64;-28,61;-16,03;-16,21;0,56;0,44;0,32;74,06;;229.974,86;1,98;-0,57;1,05;967.800.889,16
BLAU3;12,20;2,77;8,16;0,99;0,64;38,95;22,09;15,16;5,60;5,78;0,17;0,03;1,24;1,92;-1,23;3,23;12,18;7,81;8,87;0,64;0,36;0,52;12,41;6,01;3.555.935,52;12,27;1,49;0,65;2.188.606.055,80
