TICKER,PRECO,ULTIMO DIVIDENDO,DY,VALOR PATRIMONIAL COTA,P/VP,LIQUIDEZ MEDIA DIARIA,PERCENTUAL EM CAIXA,CAGR DIVIDENDOS 3 ANOS,CAGR VALOR COTA 3 ANOS,PATRIMONIO,N COTISTAS,GESTAO,N COTAS,SETOR
DAMA11,5.84,0.056251,13.87,7.30,0.80,1372.48,4.59,,,40396216.25,904.00,,5537031.00,Misto
EMET11,9.30,0.100000,18.49,9.50,0.98,1489.05,7.48,,,47490638.23,238.00,,5000000.00,Misto
ESTQ11,0.00,,0.00,0.02,,,99.41,,,997913.30,5.00,,65361974.00,Misto
FTCE11B,38280.10,47.434652,0.21,2935.81,13.04,20943483170.84,3.33,,,3960461655.22,124.00,,1349019.00,Misto
HGBL11,8.68,0.072000,10.09,9.74,0.89,123529.05,2.17,,,255722209.00,4846.00,,26261802.00,Misto
HGRU11,116.28,0.950000,10.18,128.52,0.91,6254535.62,3.86,-0.42,5.84,2986524120.89,230263.00,,23238024.00,Misto
HLMB11,0.00,49.571629,0.00,871.08,,,4.00,,,47595550.27,49.00,,54639.00,Misto
HSRE11,86.45,0.850000,11.22,86.50,1.00,327699.46,4.44,11.60,2.88,769710080.04,792.00,,8898724.00,Misto
ICRI11,90.55,1.150000,13.25,99.50,0.91,627107.24,8.38,,,383809646.57,12752.00,,3857359.00,Misto
IDGR11,1.50,0.008834,0.00,0.00,,,,,-27.09,0.00,0.00,Ativa,883359.00,Misto
JCDA11,0.00,,0.00,28.83,,,0.12,,,441169470.67,104.00,,15303215.00,Misto
JSRE11,57.21,0.500000,10.05,101.64,0.57,2983428.14,4.04,0.94,-2.05,2110838974.37,87940.00,,20767328.00,Misto
KNRI11,151.60,1.100000,8.58,163.51,0.93,6536717.48,2.36,2.87,5.65,4611769029.21,323346.00,,28204047.00,Misto
KRES11,0.00,0.000843,0.00,1.00,,,1.75,,,244463687.48,131.00,,245099742.00,Misto
LLAO11,57.20,1.700000,0.00,53.40,1.07,57.00,16.89,,,19286631.82,78.00,,361140.00,Misto
LSOI11,12.02,0.100000,0.00,13.29,0.90,0.00,0.60,,,71298448.94,40.00,,5365285.00,Misto
MAGM11,9.99,0.120000,13.11,10.02,1.00,119346.52,11.86,,,124710674.41,217.00,Ativa,12440765.00,Misto
MVFI11,0.00,,0.00,1.40,,,2.76,,,109455592.11,1.00,,78155673.00,Misto
OPTM11,0.00,0.140000,0.00,62.87,,,17.77,,,4608858.27,14.00,,73305.00,Misto
OURE11,78.20,1.085000,0.00,0.00,,,,-3.46,-2.26,0.00,0.00,,0.00,Misto
PATA11,9.10,0.070000,20.75,10.23,0.89,16708.62,14.17,,,17412635.99,407.00,,1702007.00,Misto
PMFO11,85.49,0.880000,11.88,87.24,0.98,93527.56,0.97,,,85137291.18,196.00,,975907.00,Misto
PMIS11,7.79,0.092000,14.56,9.30,0.84,193692.48,16.52,,,137677000.04,6520.00,,14803242.00,Misto
REME11,78.50,0.880000,5.52,91.59,0.86,208879.43,8.11,,,59998758.53,1.00,,655087.00,Misto
RTEL11,0.00,,0.00,37.59,,,27.29,,,13051189.16,586.00,,347200.00,Misto
RZTR11,84.62,0.900000,13.94,97.61,0.87,2747444.67,2.61,-0.70,8.38,1840199861.90,146324.00,,18851720.00,Misto
RZZI11,1050.00,7.500000,4.71,1306.33,0.80,32375.00,1.47,,,145709586.33,116.00,,111541.00,Misto
RZZV11,1028.34,8.300000,8.78,1277.43,0.81,105000.00,2.94,,,221685536.19,131.00,,173540.00,Misto
SALI11,0.00,3.050000,0.00,92.39,,,7.87,,,7351340.13,2.00,,79565.00,Misto
SAPI11,8.99,0.110000,15.99,10.00,0.90,189446.14,13.97,,,295715947.88,13141.00,,29563321.00,Misto
SARE11,4.80,0.026000,0.00,5.03,0.95,348855.00,4.63,-28.39,0.00,464915874.22,26586.00,,92343290.00,Misto
SEQR11,53.69,0.588300,13.05,97.26,0.55,47831.81,1.96,-3.56,5.36,162007042.26,4095.00,Ativa,1665695.00,Misto
SOFF11,94.20,1.000000,0.00,102.35,0.92,0.00,0.00,,,187803095.94,309.00,,1834908.00,Misto
TCPF11,39.53,4.710000,11.92,93.70,0.42,,1.80,,,27859759.41,47.00,,297327.00,Misto
TORD11,1.24,0.007000,7.27,36.72,0.03,12717.52,4.30,-76.04,-55.88,212583174.34,46674.00,,5841933.00,Misto
TRUE11,23.20,0.018204,0.08,28.31,0.82,35232.52,1.39,-10.27,-1.56,70205798.42,2791.00,,2479794.00,Misto
VGHF11,5.19,0.060000,16.54,8.22,0.63,2464375.81,1.65,-9.75,-7.78,1354530658.49,368182.00,,164721683.00,Misto
VGRI11,5.31,0.075000,22.88,8.63,0.62,229404.05,3.55,,,302299184.91,25208.00,,35021736.00,Misto
VIUR11,2.26,0.206700,24.94,3.54,0.64,73306.67,63.92,3.78,3.64,95482624.57,35608.00,,26946220.00,Misto
VRTM11,6.49,0.090000,16.64,9.42,0.69,154027.90,7.60,,,442340780.01,11765.00,,46971245.00,Misto
VTXI11,0.00,,0.00,2.64,,,6.74,,,273238.99,2.00,,103500.00,Misto
VVPR11,101.50,0.892340,0.00,98.03,1.04,,1.27,,,226032234.18,1372.00,,2305771.00,Misto
WTSP11,55.02,0.770000,9.47,96.35,0.57,4831.18,1.27,7.12,12.18,119341132.50,232.00,,1238572.00,Misto
AFHI11,94.02,1.030000,12.81,94.67,1.00,639541.62,9.28,0.53,11.32,500754164.78,38773.00,,5289202.00,Papéis
ALZC11,7.35,0.120000,16.63,9.08,0.81,217982.95,6.85,,4.27,177146795.22,10966.00,,19514366.00,Papéis
ARRI11,4.72,0.070000,20.85,8.39,0.56,135569.71,2.06,-6.53,-8.22,173850516.20,23009.00,,20726973.00,Papéis
ARXD11,7.90,0.090000,13.99,9.05,0.87,47703.00,1.15,-3.90,4.72,78515894.86,2053.00,,8678442.00,Papéis
AZPE11,0.00,0.090000,0.00,9.97,,,6.97,,,124649206.10,1.00,,12500000.00,Papéis
BARI11,79.20,0.760800,0.96,78.48,1.01,0.00,6.74,-0.15,5.42,363696267.15,31765.00,,4634191.00,Papéis
BBIM11,0.00,0.340000,0.00,0.00,,,,-24.05,,0.00,0.00,Ativa,0.00,Papéis
BCRI11,58.21,0.800000,16.51,84.82,0.69,258107.38,6.94,0.21,5.19,530809727.54,40525.00,,6257873.00,Papéis
BICR11,35.92,0.363000,0.00,41.61,0.86,72.00,3.33,-18.17,-26.90,20805910.51,641.00,Ativa,500000.00,Papéis
BLMC11,85.75,1.070000,0.00,0.00,1.34,,3.50,-0.67,1.50,0.00,0.00,,0.00,Papéis
BLUR11,76.03,1.010650,0.00,76.13,1.00,,100.42,-14.85,-3.69,6851720.42,1.00,Ativa,90000.00,Papéis
BTCI11,8.98,0.103000,13.08,10.10,0.89,2344693.86,1.89,1.04,9.87,1004869620.72,211601.00,,99521172.00,Papéis
BTCR11,88.00,0.900000,0.00,95.27,0.92,571148.00,8.00,32.78,,458252683.73,16934.00,,4810097.00,Papéis
BTHF11,8.74,0.101000,13.51,9.86,0.89,3037669.14,8.20,,,2029636744.26,315185.00,,205846940.00,Papéis
CACR11,14.30,0.230000,74.26,98.87,0.14,568011.62,0.05,-5.01,-40.06,478165530.06,24896.00,,4836324.00,Papéis
CCRF11,92.50,0.632531,0.00,93.23,0.99,,3.10,,0.55,146548498.31,317.00,,1571900.00,Papéis
CPTS11,7.51,0.090000,14.26,8.65,0.87,7159216.10,1.83,7.22,6.71,3144185982.89,392504.00,,363503147.00,Papéis
CTNP11,0.00,,0.00,63.81,,,3.50,,,118155565.38,8102.00,,0.00,Papéis
DEVA11,17.33,0.300000,22.85,94.49,0.18,411162.90,6.33,-14.15,-19.32,1327130414.42,73595.00,,14044908.00,Papéis
EDGE11,915.15,77.330000,17.11,1156.37,0.79,683.82,31.36,,,13222105.48,126.00,,11434.00,Papéis
EXES11,9.66,0.130000,16.15,9.73,0.99,93893.19,1.58,16.40,19.00,137203024.34,2272.00,,14101455.00,Papéis
FISD11,149.33,6.526269,0.00,15.01,9.95,,6.87,,,16099591.67,22.00,,1072588.00,Papéis
FLCR11,92.60,1.050000,14.12,93.25,1.00,207957.48,10.77,0.05,13.23,70110704.54,2658.00,,751844.00,Papéis
FYTO11,7.92,0.100000,15.27,9.90,0.80,106343.24,7.43,0.58,2.47,151325830.87,10172.00,,15281388.00,Papéis
GCRI11,65.28,0.980000,15.52,92.17,0.71,118507.52,1.02,-3.29,3.54,134008694.09,4014.00,,1453859.00,Papéis
GLCR11,98.67,0.900000,10.95,98.03,1.01,4706.42,2.34,,,48829954.60,896.00,,498110.00,Papéis
HABT11,70.03,0.950000,16.44,94.35,0.74,1133316.29,13.57,-2.19,3.21,766768194.82,56349.00,,8126783.00,Papéis
HBTT11,1055.00,16.580000,0.00,0.00,16.53,,3.50,,,0.00,0.00,,0.00,Papéis
HCHG11,60.92,1.060000,12.56,79.32,0.77,6622.26,1.16,2.11,1.22,95188757.51,514.00,,1200000.00,Papéis
HCTR11,15.17,0.240000,22.52,100.62,0.15,451900.86,0.53,-7.25,-22.32,2222054005.74,121767.00,,22084202.00,Papéis
HGCR11,90.74,1.000000,13.02,97.47,0.93,2392210.81,2.98,-0.14,5.60,1502794080.27,104265.00,,15418106.00,Papéis
HGIC11,53.16,0.600000,15.91,110.75,0.48,3732.48,2.00,-9.15,-10.73,51245748.91,727.00,,462706.00,Papéis
HREC11,8.10,0.095000,12.72,8.82,0.92,99718.62,1.55,1.50,10.28,455628357.24,2390.00,,51685917.00,Papéis
HSAF11,75.59,0.950000,15.08,88.63,0.85,406994.71,15.00,3.44,7.60,223899907.32,8762.00,,2526360.00,Papéis
IBCR11,40.35,0.600000,19.57,0.00,0.51,47161.52,0.98,-11.72,-7.26,0.00,3694.00,,0.00,Papéis
IRDM11,58.31,1.250056,5.99,78.62,0.74,5300561.00,3.42,-0.50,-2.34,2959621783.69,258917.00,,37642399.00,Papéis
ISCJ11,50.71,0.350584,40.16,0.00,,10174.00,,,,0.00,0.00,,0.00,Papéis
