TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
TOYB4;2,50;;-47,96;0,03;0,00;24,06;-10,70;-10,96;-49,12;-46,99;;;5,26;0,37;0,00;;-0,07;0,00;;0,05;0,95;0,00;201,60;;;76,91;-0,05;0,52;71.890.222,22
TRIS3;4,12;16,98;5,04;0,65;0,29;27,82;13,71;13,17;4,84;7,12;2,28;0,31;0,66;0,50;-1,73;3,21;12,92;5,73;6,43;0,44;0,55;0,44;9,42;2,34;1.522.311,17;6,33;0,82;1,08;962.089.982,32
TXRX3;9,00;;-0,67;-0,09;0,23;20,30;-7,98;-49,57;-4,15;-40,54;-38,62;;0,33;-0,30;-0,37;0,34;-13,77;-33,95;15,40;-2,47;3,47;0,68;6,76;;2.000,00;-97,97;-13,49;-0,02;17.733.845,70
TXRX4;1,65;;-0,12;-0,02;0,04;20,30;-7,98;-49,57;-0,76;-40,54;-38,62;;0,06;-0,05;-0,07;0,34;-13,77;-33,95;15,40;-2,47;3,47;0,68;6,76;;0,00;-97,97;-13,49;0,00;17.733.845,70
UCAS3;1,18;;-5,89;0,45;0,19;30,62;-5,62;-5,59;-5,86;-14,21;-8,36;0,64;0,33;5,45;-0,26;1,15;-7,66;-3,23;-5,13;0,42;0,58;0,58;9,69;;12.026,26;2,62;-0,20;0,01;77.981.909,52
VIVA3;21,55;3,24;8,70;1,68;1,09;69,91;23,54;18,97;7,01;7,29;0,28;0,07;1,65;2,26;-2,97;4,14;19,31;12,52;19,59;0,65;0,35;0,66;23,64;31,89;63.278.329,26;12,83;2,48;-0,43;5.090.061.921,95
VIVR3;1,69;;-0,47;-0,18;0,04;21,07;-50,00;-78,58;-0,74;-2,27;-1,53;;0,37;-0,36;-0,06;0,77;-38,84;-8,48;-17,24;-0,22;0,76;0,11;-8,14;;15.264,96;-9,27;-3,60;0,01;8.247.267,60
VSTE3;2,63;1,93;5,89;0,28;0,18;64,13;8,73;4,02;2,72;5,24;2,52;0,26;0,24;1,74;-0,26;1,48;4,74;3,02;7,98;0,64;0,36;0,75;15,50;;134.676,52;9,41;0,45;-0,01;301.136.341,30
VTRU3;12,15;0,21;-6,04;1,79;1,45;22,04;-7,31;-14,81;-12,22;-8,54;3,68;-0,54;0,89;3,44;-3,17;4,48;-29,57;-24,02;-29,52;0,81;0,19;1,62;;;6.004.757,48;6,81;-2,01;;460.315.592,55
VULC3;14,50;31,58;4,05;1,84;1,15;41,06;20,92;31,34;6,06;6,95;0,88;0,27;1,27;2,78;-3,05;2,95;45,47;28,32;12,76;0,62;0,38;0,90;24,73;104,84;15.230.251,39;7,88;3,58;0,04;4.610.741.465,00
WEST3;3,49;;-18,49;0,18;0,13;39,64;-15,97;-1,37;-1,58;2,50;4,08;-0,46;0,25;0,34;-0,32;3,00;-0,96;-0,71;-11,40;0,75;0,25;0,52;-9,25;;126.570,87;19,74;-0,19;0,21;38.810.513,59
WHRL3;4,09;4,78;18,72;3,20;0,62;18,76;8,60;2,66;5,78;5,87;0,11;0,06;0,50;-10,08;-1,78;0,91;17,12;3,34;20,84;0,20;0,80;1,26;6,29;-14,35;4.128,91;1,28;0,22;-0,30;6.122.690.500,71
WHRL4;3,98;5,30;18,21;3,12;0,61;18,76;8,60;2,66;5,63;5,87;0,11;0,06;0,48;-9,81;-1,73;0,91;17,12;3,34;20,84;0,20;0,80;1,26;6,29;-14,35;21.921,91;1,28;0,22;-0,29;6.122.690.500,71
YDUQ3;7,77;7,32;17,96;0,71;0,22;60,32;14,84;2,14;2,59;7,80;5,21;1,43;0,38;2,84;-0,29;1,47;3,96;1,22;9,39;0,31;0,69;0,57;7,46;3,85;28.768.653,43;10,94;0,43;-0,29;2.129.670.372,27
ZAMP3;3,50;;34,09;1,02;0,32;65,87;3,05;0,77;8,64;14,38;5,74;0,68;0,26;-4,99;-0,41;0,77;3,00;0,93;6,13;0,31;0,69;1,21;18,51;;247.849,00;3,43;0,10;-0,26;1.424.270.382,50
