TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG RATIO,VALOR DE MERCADO,SETOR
BRPR3,131.17,,-0.56,0.05,0.04,100.0,-336.36,-123.98,-0.21,0.06,0.27,-0.07,0.7,1.73,-0.05,1.12,-9.55,-6.86,-31.25,0.72,0.28,0.06,-7.12,,,2447.95,-233.75,0.01,60919545.44,Financeiro e Outros
BRSR3,15.76,8.65,5.07,0.58,0.04,29.79,7.77,6.14,4.01,3.89,,,0.31,12.94,-0.04,1.31,11.45,0.8,,0.07,0.93,0.13,15.28,0.02,131951.95,27.14,3.11,0.09,6259879988.76,Financeiro e Outros
BRSR5,15.3,10.71,4.92,0.56,0.04,29.79,7.77,6.14,3.89,3.89,,,0.3,12.56,-0.04,1.31,11.45,0.8,,0.07,0.93,0.13,15.28,0.02,1580.5,27.14,3.11,0.08,6259879988.76,Financeiro e Outros
BRSR6,14.85,9.18,4.78,0.55,0.04,29.79,7.77,6.14,3.78,3.89,,,0.29,12.19,-0.04,1.31,11.45,0.8,,0.07,0.93,0.13,15.28,0.02,22234597.05,27.14,3.11,0.08,6259879988.76,Financeiro e Outros
BSLI3,6.83,6.05,4.11,0.83,0.04,35.96,11.12,7.43,2.75,2.79,,,0.31,-1.69,-0.04,0.11,20.28,1.08,,0.05,0.95,0.15,23.49,15.97,68326.33,8.2,1.66,0.0,3373756007.25,Financeiro e Outros
BSLI4,7.15,6.35,4.3,0.87,0.05,35.96,11.12,7.43,2.87,2.79,,,0.32,-1.77,-0.05,0.11,20.28,1.08,,0.05,0.95,0.15,23.49,15.97,29123.9,8.2,1.66,0.0,3373756007.25,Financeiro e Outros
CCXC3,1.16,,-0.25,-0.03,2.34,,,,-3.26,-3.21,0.05,,,-0.03,,0.01,-10.66,-946.44,0.81,-88.75,89.75,0.0,,,,-43.93,-4.68,0.0,1973425.64,Financeiro e Outros
CIEL3,5.83,,11.35,1.54,0.14,40.95,19.23,12.88,7.6,11.71,4.11,0.84,1.46,1.54,-1.52,1.12,13.6,1.27,4.71,0.09,0.88,0.1,-1.94,-2.04,0.0,3.78,0.51,-1.21,15839031805.63,Financeiro e Outros
CMSA3,0.0,,0.0,0.0,0.0,,,,0.0,0.07,0.07,-0.96,,0.0,0.0,38.28,-1369.84,-1336.29,-1392.4,0.98,0.02,0.0,,,,0.0,0.0,0.0,0.0,Financeiro e Outros
CMSA4,0.0,,0.0,0.0,0.0,,,,0.0,0.07,0.07,-0.96,,0.0,0.0,38.28,-1369.84,-1336.29,-1392.4,0.98,0.02,0.0,,,,0.0,0.0,0.0,0.0,Financeiro e Outros
