TICKER,SETOR,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG RATIO,VALOR DE MERCADO
EALT,Bens Industriais,14.445,1.395,3.4299999999999997,0.96,0.5,29.1,20.65,16.13,2.68,3.48,0.81,0.29,0.55,5.465,-0.88,1.27,28.11,14.7,21.15,0.52,0.48,0.91,13.53,41.25,57542.74,14.98,4.21,0.05,324097500.0
ECOR,Bens Industriais,6.78,,5.76,1.32,0.15,39.22,35.46,8.06,1.31,6.61,5.3,5.35,0.46,-9.13,-0.17,0.9,22.93,2.53,10.52,0.11,0.88,0.31,20.09,,19201283.62,5.13,1.18,0.3,4721146038.72
EEEL,Utilidade Pública,352.385,,5.665,1.12,0.415,55.65,49.33,26.05,2.99,5.32,2.81,1.05,1.475,10.64,-0.505,1.28,19.76,7.34,12.66,0.37,0.63,0.28,13.69,8.82,,314.98,62.24,-7.545,2840511499.76
EGIE,Utilidade Pública,41.89,5.55,10.16,2.83,0.65,53.62,55.8,28.94,5.27,8.4,3.13,1.68,2.94,18.02,-0.78,1.27,27.84,6.38,14.29,0.23,0.75,0.22,2.73,7.81,58479966.29,14.81,4.12,-0.5,34179213028.6
EKTR,Utilidade Pública,42.495000000000005,11.155000000000001,8.845,3.6050000000000004,0.675,27.78,22.71,9.89,3.8499999999999996,6.93,3.05,2.85,0.875,-40.760000000000005,-0.93,0.94,40.74,7.61,19.25,0.19,0.81,0.77,6.61,13.47,7711.69,11.79,4.8,-2.835,8288735245.07
ELEK,Materiais Básicos,28.05,,35.900000000000006,3.9050000000000002,1.5699999999999998,11.39,2.82,2.53,32.21,38.76,5.75,0.7,0.9099999999999999,5.505,-3.8099999999999996,1.94,10.87,4.36,4.38,0.4,0.6,1.72,1.48,,,7.19,0.78,-0.515,905051916.3
ELET,Utilidade Pública,54.79,3.99,13.043333333333331,1.04,0.45,44.48,52.13,23.16,5.79,6.03,1.84,0.33,3.02,3.9133333333333327,-0.5633333333333334,2.29,7.98,3.44,10.770000000000001,0.43,0.57,0.15,7.7,-1.9400000000000002,75239516.76333334,52.63,4.2,0.10666666666666667,91435335250.14
ELMD,Comunicações,31.0,0.64,39.74,4.53,1.39,49.42,24.62,8.95,14.44,17.04,2.6,0.82,3.55,10.24,-2.04,1.76,11.4,3.51,9.18,0.31,0.63,0.39,32.0,51.88,449813.5,6.85,0.78,8.29,4455057771.0
ELPL,Utilidade Pública,8.31,,2.1,0.41,0.08,20.32,15.0,5.69,0.8,3.62,2.82,1.46,0.12,-0.56,-0.11,0.6,19.68,4.0,18.04,0.2,0.8,0.7,6.92,8.75,,20.08,3.95,0.12,2485315360.74
EMAE,Utilidade Pública,89.91000000000001,1.665,49.875,2.695,1.54,36.47,0.3,10.8,1823.22,1428.57,-146.02,-0.22,5.385,7.0649999999999995,-2.18,3.91,5.41,3.09,-2.15,0.57,0.43,0.29,7.2,-6.38,61218.43,33.33,1.8,-0.88,2868899267.0
EMBR,Bens Industriais,68.13,0.1,22.83,2.75,0.75,17.79,10.93,5.91,12.34,13.31,0.97,0.22,1.35,5.77,-1.62,1.32,12.07,3.29,12.86,0.27,0.7,0.56,27.61,,370074248.9,24.73,2.98,0.32,50447883447.72
ENAT,"Petróleo, Gás e Biocombustíveis",21.8,,10.29,1.29,0.46,24.54,56.1,25.34,4.65,5.12,0.47,0.13,2.61,1.31,-0.85,3.9,12.53,4.43,8.6,0.35,0.65,0.17,11.74,5.75,201679399.0,16.91,2.12,0.01,5785005265.2
ENBR,Utilidade Pública,24.08,5.18,6.81,1.16,0.33,26.81,22.09,11.38,3.51,5.85,2.34,0.77,0.77,2.1,-0.7,1.44,17.02,4.9,15.23,0.29,0.68,0.43,2.76,8.96,,20.77,3.54,0.14,13994459653.44
ENEV,Utilidade Pública,13.7,,54.33,1.38,0.49,31.26,17.71,3.53,10.83,16.74,5.91,0.75,1.92,7.09,-0.61,1.53,2.55,0.89,-1.71,0.35,0.62,0.25,29.41,-4.1,72309856.71,9.9,0.25,-0.06,26476507207.9
ENGI,Utilidade Pública,21.71666666666667,5.3566666666666665,5.976666666666667,1.2166666666666666,0.28,24.92,17.38,10.729999999999999,3.6933333333333334,8.25,4.73,1.5599999999999998,0.6433333333333333,4.37,-0.3666666666666667,1.38,20.36,4.68,9.54,0.23,0.71,0.44,11.12,51.74,25289142.430000003,18.336666666666666,3.733333333333333,0.11333333333333333,20861237529.26
ENMA,Utilidade Pública,67.24,,15.155000000000001,2.61,1.0,27.91,16.43,11.39,10.51,,2.99,0.74,1.73,13.635000000000002,-1.35,1.4,17.21,6.62,11.9,0.38,0.62,0.58,10.37,2.39,,25.77,4.44,-2.74,
ENMT,Utilidade Pública,62.45,4.455,13.6,3.4,0.9550000000000001,26.26,19.42,12.15,8.51,12.01,3.65,1.46,1.65,9.675,-1.3199999999999998,1.56,25.01,7.02,14.07,0.28,0.72,0.58,10.74,11.09,27741.48,18.36,4.59,-0.4,13438729841.6
EPAR,Financeiro e Outros,4.92,37.35,12.74,1.34,1.06,13.93,-53.45,81.38,-19.4,-15.59,3.81,-0.26,10.37,4.56,-1.41,13.71,10.5,8.31,-20.29,0.79,0.21,0.1,-44.69,-9.91,11158.95,3.68,0.39,-0.1,73113994.56
EQPA,Utilidade Pública,6.8125,9.834999999999999,7.762499999999999,2.7925,0.87,31.06,22.79,17.37,5.9175,6.59,1.69,0.8,1.35,10.1875,-1.295,1.35,36.01,11.21,19.77,0.31,0.69,0.65,14.19,32.82,10274.119999999999,2.44,0.88,-0.5925,12465679418.96
EQTL,Utilidade Pública,34.22,2.31,13.9,1.6,0.37,28.4,19.18,6.55,4.74,9.6,4.86,1.64,0.91,8.33,-0.48,1.24,11.53,2.67,10.3,0.23,0.73,0.41,19.27,5.04,194676240.38,21.35,2.46,0.34,42930635571.36
ESPA,Consumo não Cíclico,1.12,0.12,46.51,0.47,0.18,32.88,14.5,0.84,2.7,6.95,4.25,0.74,0.39,1.18,-0.33,1.48,1.0,0.38,8.22,0.38,0.62,0.45,9.72,-29.8,278093.76,2.4,0.02,-0.34,404793833.92
ETER,Bens Industriais,3.75,3.35,8.34,0.29,0.18,19.9,1.87,2.36,10.51,15.57,5.06,0.14,0.2,1.06,-0.3,1.72,3.49,2.13,-1.51,0.61,0.39,0.9,18.91,,238996.0,12.87,0.45,-0.11,231662156.25
EUCA,Materiais Básicos,18.375,3.85,7.07,0.64,0.35,34.04,14.02,8.13,4.095000000000001,5.42,1.41,0.22,0.575,1.725,-0.5800000000000001,2.06,9.07,4.96,9.36,0.55,0.45,0.61,13.37,29.66,320044.44999999995,28.64,2.6,-0.18,1665904721.08
EVEN,Consumo Cíclico,7.01,5.71,45.12,0.74,0.27,26.88,4.37,1.68,17.38,20.42,3.05,0.13,0.76,0.44,-1.44,4.38,1.65,0.6,1.38,0.37,0.58,0.36,2.43,-23.57,2364704.62,9.43,0.16,-0.52,1402000000.0
EZTC,Consumo Cíclico,13.07,8.94,6.53,0.59,0.41,35.19,22.74,27.07,7.78,8.85,1.07,0.08,1.77,1.09,-0.74,7.71,9.02,6.35,5.06,0.7,0.28,0.23,14.17,9.48,10224184.29,22.17,2.0,0.09,2888327576.21
FESA,Materiais Básicos,9.405,5.65,10.695,0.985,0.765,19.68,6.09,13.64,23.935000000000002,18.06,-3.51,-0.14,1.46,2.94,-1.25,3.09,9.23,7.16,3.7,0.78,0.22,0.53,11.82,7.02,1476441.2,9.52,0.88,1.71,2992569500.0
FIQE,Comunicações,3.64,2.72,7.57,1.08,0.57,50.81,25.62,16.64,4.92,5.5,0.58,0.13,1.26,5.73,-0.79,1.55,14.27,7.5,10.2,0.53,0.47,0.45,44.39,36.61,627304.43,3.37,0.48,-0.24,1317860576.76
FLRY,Saúde,12.71,8.01,11.08,1.33,0.52,27.58,15.44,8.05,5.78,8.3,2.52,0.58,0.89,2.65,-0.81,2.29,12.01,4.73,9.05,0.39,0.6,0.59,21.48,14.98,24900949.38,9.55,1.15,0.43,6954797940.46
FRAS,Bens Industriais,23.75,3.62,20.31,3.12,0.99,33.57,13.35,7.36,11.19,14.58,3.39,0.95,1.49,3.73,-1.93,2.19,15.38,4.87,9.46,0.32,0.68,0.66,23.77,54.79,12317705.33,7.6,1.17,-1.18,6657958411.25
